type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
NA,NA,2020-05-28,NA,Your Digital Life During Lockdown,NA,NA,NA,[University of Oxford Podcasts](https://podcasts.ox.ac.uk/your-digital-life-during-lockdown),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2020-05-21,NA,Deus ex Machina: What Can Digital Humanities Offer Hindu Studies?,NA,University of Oxford,Oxford Centre for Hindu Studies,[Śākta traditions project](http://saktatraditions.org),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2020-05-20,NA,‘I Just Want to Hack Myself to Not Get Distracted’: Evaluating Design Interventions for Self-Control on Facebook,NA,University of Washington,NA,[Design. Use. Build. (DUB) alliance](https://dub.washington.edu/seminar.html),NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,y,2020-04-25,NA,‘I Just Want to Hack Myself to Not Get Distracted’: Evaluating Design Interventions for Self-Control on Facebook,NA,[2020 CHI Conference on Human Factors in Computing Systems](https://chi2019.acm.org),NA,pre-recorded video presentation due to the COVID-19 pandemic,NA,NA,NA,NA,https://youtu.be/bsBpGkPV83w,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-04-22,NA,Digital Wellbeing in Practice: Designing for Digital Self-Control,NA,Google,NA,[Digital Wellbeing](https://wellbeing.google),NA,NA,NA,/pdfs/2020-04-22_lyngs_google_digi_wellbeing.pdf,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2020-02-20,NA,Digital Wellbeing in Practice: Examining the Effectiveness of Digital Self-Control Strategies,NA,University of Copenhagen,Dept. of Computer Science,[Human-Centred Computing Section](https://di.ku.dk/english/research/human-centred-computing/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2020-02-05,NA,Digital Wellbeing in Practice: Examining the Effectiveness of Digital Self-Control Strategies,NA,University of Oxford,Oxford Internet Institute,[Digital Ethnography Group (OxDEG)](https://www.oii.ox.ac.uk/research/projects/oxdeg/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2019-11-04,NA,"Reproducible research with R Markdown, featuring article and PhD thesis writing",NA,University of Oxford,St. Peter's College,[R user group Oxford](https://twitter.com/rusersoxford),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,NA,NA
NA,NA,2019-10-03,NA,Psychology and Futurity,NA,University of Oxford,Wolfson College,[Futures Thinking Conference](https://www.torch.ox.ac.uk/event/futures-thinking-conference-details),roundtable discussion on mental health,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2019-07-06,NA,Q&A: Self-Control in Cyberspace,NA,Indian Institute of Technology (IIT) Bombay,NA,Best of CHI2019,Mumbai (videolink),NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2019-06-06,NA,Computing Everything? The Limits of Algorithmic Learning,NA,University of Oxford,Dept. of Computer Science,[2019 Oxford Computer Science Conference](https://oxfordcsc.com),"moderated panel discussion with Richard Evans (Deepmind), Peter Millican, Hao Ni, and Luba Elliott",NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2019-06-06,NA,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,NA,University of Oxford,Dept. of Computer Science,[2019 Oxford Computer Science Conference](https://oxfordcsc.com),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2019-05-22,NA,"""Owning"" Your DPhil",NA,University of Oxford,Dept. of Computer Science,Workshop for new DPhil (PhD) students,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y,2019-05-07,NA,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,NA,[2019 CHI Conference on Human Factors in Computing Systems](https://chi2019.acm.org),NA,NA,"Glasgow, UK",NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,NA
NA,NA,2019-05-04,NA,Putting Self-Control at the Centre of Digital Wellbeing,NA,2019 CHI Conference on Human Factors in Computing Systems,NA,[Designing for Digital Wellbeing Workshop](https://digitalwellbeingworkshop.wordpress.com),"Glasgow, UK",NA,NA,NA,NA,NA,NA,NA,n,NA,NA,n,NA,NA
NA,NA,2018-09-03,NA,"So, Tell Me What Users Want, What They Really, Really Want!",NA,BBC,"BBC Radio Theatre, New Broadcasting House, London","Conference on AI, Society & the Media",NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2018-06-30,NA,Hacking the Attention Economy,NA,[UnBias](https://unbias.wp.horizon.ac.uk/) Hackathon,NA,CodeBase,Edinburgh,NA,NA,NA,NA,y,NA,NA,n,NA,NA,n,NA,NA
NA,NA,2018-04-16,NA,Evaluating Anti-Distraction Browser Extensions for Facebook,NA,University of Oxford,Dept. of Computer Science,[Human Centred Computing](https://hcc.cs.ox.ac.uk),NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-07-01,NA,Ulysses in Cyberspace: How Anti-Distraction Apps Can Guide Digital Design,NA,University of Oxford,Linacre College,DOMUS Research Communication Competition,NA,NA,NA,NA,NA,y,NA,NA,n,NA,NA,n,NA,NA
NA,NA,2017-06-09,NA,ICTs and Attention Management: Evaluating the Emerging Anti-Distraction Market,NA,University of Oxford,Dept. of Computer Science,[2017 Oxford Computer Science Conference](https://oxfordcsc.com),NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-03-28,NA,Battle of the Social Machines: Attention Management in the Information Age,NA,University of Oxford,Dept. of Computer Science,"*Being Responsible in Research: Opportunities and Challenges* workshop, [Human Centred Computing](https://hcc.cs.ox.ac.uk)",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,n,NA,NA
NA,NA,2017-09-19,NA,Distraction and Self-Regulation in Social Machines,NA,University of Oxford,Jesus College,[SOCIAM: The Theory and Practice of Social Machines](https://sociam.org) project meeting,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,n,NA,NA
NA,NA,2017-12-04,NA,How to Build Minimally-Distracting Technology,NA,[PubhD](http://pubhd.org),NA,science communication and pints,"St Aldate's Tavern, Oxford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-03-13,NA,Attention Management in the Information Age,NA,[SOCIAM: The Theory and Practice of Social Machines](https://sociam.org),NA,NA,"project meeting at Brockenhurst, UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2015-09-24,NA,Religion: A Culturally Evolved Tool for Self-Control,NA,Aarhus University,Institute of Culture and Society,"[Religion, Cognition and Culture](https://rcc.au.dk) research unit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2014-07-30,NA,Fundamental Motivations and Risk-Taking: Loss Aversion in Context,NA,[26th Annual Human Behavior and Evolution Society Conference](https://www.hbes.com/conference/),NA,"Natal, Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
